




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (5851)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	137	55.40	+	2.47	3.57E-15	4.12E-13
CENP-A containing nucleosome assembly (GO:0034080)	30	21	8.52	+	2.46	2.08E-03	4.53E-02
CENP-A containing chromatin organization (GO:0061641)	30	21	8.52	+	2.46	2.08E-03	4.52E-02
mitochondrial translational termination (GO:0070126)	89	62	25.28	+	2.45	1.81E-07	9.78E-06
mitochondrial translation (GO:0032543)	112	78	31.82	+	2.45	5.85E-09	3.92E-07
rRNA processing (GO:0006364)	262	180	74.43	+	2.42	9.51E-19	1.49E-16
RNA capping (GO:0036260)	35	24	9.94	+	2.41	1.38E-03	3.20E-02
7-methylguanosine RNA capping (GO:0009452)	35	24	9.94	+	2.41	1.38E-03	3.19E-02
ribosomal small subunit biogenesis (GO:0042274)	73	50	20.74	+	2.41	3.46E-06	1.47E-04
ncRNA transcription (GO:0098781)	94	64	26.71	+	2.40	2.08E-07	1.10E-05
translational termination (GO:0006415)	97	66	27.56	+	2.39	1.21E-07	6.62E-06
viral gene expression (GO:0019080)	172	117	48.86	+	2.39	1.89E-12	1.79E-10
7-methylguanosine mRNA capping (GO:0006370)	34	23	9.66	+	2.38	2.01E-03	4.41E-02
rRNA metabolic process (GO:0016072)	272	184	77.27	+	2.38	1.21E-18	1.87E-16
DNA replication-independent nucleosome organization (GO:0034724)	40	27	11.36	+	2.38	9.45E-04	2.29E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	33	13.92	+	2.37	2.46E-04	7.24E-03
ribosome biogenesis (GO:0042254)	329	221	93.47	+	2.36	6.54E-22	1.26E-19
protein localization to endoplasmic reticulum (GO:0070972)	143	96	40.63	+	2.36	3.07E-10	2.31E-08
mRNA catabolic process (GO:0006402)	215	144	61.08	+	2.36	1.40E-14	1.54E-12
ribonucleoprotein complex subunit organization (GO:0071826)	196	131	55.68	+	2.35	2.71E-13	2.84E-11
ER-nucleus signaling pathway (GO:0006984)	39	26	11.08	+	2.35	1.36E-03	3.17E-02
DNA replication-independent nucleosome assembly (GO:0006336)	39	26	11.08	+	2.35	1.36E-03	3.16E-02
spliceosomal snRNP assembly (GO:0000387)	39	26	11.08	+	2.35	1.36E-03	3.16E-02
translation (GO:0006412)	387	256	109.95	+	2.33	1.53E-24	3.66E-22
ribonucleoprotein complex assembly (GO:0022618)	189	125	53.69	+	2.33	1.30E-12	1.26E-10
ribonucleoprotein complex biogenesis (GO:0022613)	462	305	131.25	+	2.32	7.38E-29	2.54E-26
ncRNA export from nucleus (GO:0097064)	38	25	10.80	+	2.32	1.96E-03	4.32E-02
tRNA processing (GO:0008033)	134	87	38.07	+	2.29	6.98E-09	4.66E-07
RNA catabolic process (GO:0006401)	248	161	70.46	+	2.29	3.31E-15	3.88E-13
intracellular transport of virus (GO:0075733)	54	35	15.34	+	2.28	2.70E-04	7.87E-03
ncRNA processing (GO:0034470)	436	282	123.87	+	2.28	1.08E-25	2.84E-23
DNA-templated transcription, termination (GO:0006353)	79	51	22.44	+	2.27	1.04E-05	4.02E-04
spliceosomal complex assembly (GO:0000245)	56	36	15.91	+	2.26	2.18E-04	6.54E-03
peptide biosynthetic process (GO:0043043)	414	264	117.62	+	2.24	1.48E-23	3.17E-21
protein targeting to membrane (GO:0006612)	182	116	51.71	+	2.24	5.30E-11	4.36E-09
tRNA metabolic process (GO:0006399)	190	121	53.98	+	2.24	2.04E-11	1.74E-09
mRNA 3'-end processing (GO:0031124)	88	56	25.00	+	2.24	6.71E-06	2.72E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	64	28.69	+	2.23	1.17E-06	5.43E-05
mRNA destabilization (GO:0061157)	90	57	25.57	+	2.23	5.25E-06	2.16E-04
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	38	17.05	+	2.23	2.04E-04	6.17E-03
ribonucleoprotein complex localization (GO:0071166)	127	80	36.08	+	2.22	7.55E-08	4.31E-06
mRNA splicing, via spliceosome (GO:0000398)	303	190	86.08	+	2.21	1.14E-16	1.54E-14
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	190	86.08	+	2.21	1.14E-16	1.53E-14
ribonucleoprotein complex export from nucleus (GO:0071426)	126	79	35.80	+	2.21	1.06E-07	5.88E-06
RNA splicing, via transesterification reactions (GO:0000375)	306	191	86.93	+	2.20	1.05E-16	1.45E-14
tRNA modification (GO:0006400)	93	58	26.42	+	2.20	7.00E-06	2.83E-04
ATP-dependent chromatin remodeling (GO:0043044)	77	48	21.88	+	2.19	3.39E-05	1.21E-03
transport of virus (GO:0046794)	61	38	17.33	+	2.19	2.33E-04	6.94E-03
ncRNA metabolic process (GO:0034660)	521	324	148.02	+	2.19	2.75E-27	8.36E-25
amino acid activation (GO:0043038)	50	31	14.20	+	2.18	1.09E-03	2.60E-02
multi-organism localization (GO:1902579)	63	39	17.90	+	2.18	2.72E-04	7.89E-03
multi-organism transport (GO:0044766)	63	39	17.90	+	2.18	2.72E-04	7.88E-03
cell aging (GO:0007569)	76	47	21.59	+	2.18	4.75E-05	1.64E-03
mRNA export from nucleus (GO:0006406)	110	68	31.25	+	2.18	1.13E-06	5.27E-05
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	68	31.25	+	2.18	1.13E-06	5.26E-05
RNA destabilization (GO:0050779)	94	58	26.71	+	2.17	7.71E-06	3.09E-04
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	35	16.19	+	2.16	5.70E-04	1.48E-02
RNA methylation (GO:0001510)	88	54	25.00	+	2.16	1.64E-05	6.19E-04
RNA export from nucleus (GO:0006405)	124	76	35.23	+	2.16	3.26E-07	1.67E-05
tRNA aminoacylation (GO:0043039)	49	30	13.92	+	2.16	1.54E-03	3.49E-02
nuclear export (GO:0051168)	166	101	47.16	+	2.14	4.94E-09	3.34E-07
RNA 3'-end processing (GO:0031123)	142	86	40.34	+	2.13	8.48E-08	4.79E-06
cellular protein complex disassembly (GO:0043624)	138	83	39.21	+	2.12	2.02E-07	1.07E-05
mRNA metabolic process (GO:0016071)	697	419	198.02	+	2.12	9.48E-33	3.84E-30
maturation of SSU-rRNA (GO:0030490)	50	30	14.20	+	2.11	1.72E-03	3.86E-02
response to gamma radiation (GO:0010332)	55	33	15.63	+	2.11	1.12E-03	2.65E-02
protein K48-linked ubiquitination (GO:0070936)	60	36	17.05	+	2.11	7.44E-04	1.86E-02
regulation of gene silencing by RNA (GO:0060966)	97	58	27.56	+	2.10	1.53E-05	5.82E-04
regulation of DNA-templated transcription, elongation (GO:0032784)	52	31	14.77	+	2.10	2.01E-03	4.41E-02
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	47	22.44	+	2.09	1.35E-04	4.26E-03
RNA processing (GO:0006396)	930	553	264.21	+	2.09	2.26E-42	1.43E-39
regulation of posttranscriptional gene silencing (GO:0060147)	96	57	27.27	+	2.09	2.12E-05	7.79E-04
inner mitochondrial membrane organization (GO:0007007)	54	32	15.34	+	2.09	1.56E-03	3.55E-02
RNA splicing (GO:0008380)	409	242	116.20	+	2.08	1.21E-18	1.86E-16
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	55	26.42	+	2.08	3.69E-05	1.31E-03
ATP synthesis coupled electron transport (GO:0042773)	93	55	26.42	+	2.08	3.69E-05	1.30E-03
aerobic electron transport chain (GO:0019646)	88	52	25.00	+	2.08	5.55E-05	1.89E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	46	22.16	+	2.08	1.87E-04	5.69E-03
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	34	16.48	+	2.06	1.44E-03	3.31E-02
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	41	19.89	+	2.06	3.47E-04	9.73E-03
regulation of gene silencing by miRNA (GO:0060964)	94	55	26.71	+	2.06	4.03E-05	1.41E-03
positive regulation of viral process (GO:0048524)	89	52	25.28	+	2.06	6.21E-05	2.10E-03
oxidative phosphorylation (GO:0006119)	120	70	34.09	+	2.05	3.92E-06	1.63E-04
RNA modification (GO:0009451)	172	100	48.86	+	2.05	3.81E-08	2.31E-06
positive regulation of mRNA catabolic process (GO:0061014)	105	61	29.83	+	2.04	1.93E-05	7.16E-04
mRNA processing (GO:0006397)	486	281	138.07	+	2.04	2.24E-20	3.94E-18
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	41	20.17	+	2.03	5.32E-04	1.40E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	38	18.75	+	2.03	8.12E-04	2.01E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	38	18.75	+	2.03	8.12E-04	2.01E-02
nuclear membrane organization (GO:0071763)	73	42	20.74	+	2.03	4.24E-04	1.16E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	42	20.74	+	2.03	4.24E-04	1.16E-02
amide biosynthetic process (GO:0043604)	537	308	152.56	+	2.02	6.07E-22	1.18E-19
protein methylation (GO:0006479)	131	75	37.22	+	2.02	2.83E-06	1.22E-04
protein alkylation (GO:0008213)	131	75	37.22	+	2.02	2.83E-06	1.22E-04
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	64	31.82	+	2.01	1.54E-05	5.85E-04
respiratory electron transport chain (GO:0022904)	112	64	31.82	+	2.01	1.54E-05	5.84E-04
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	52	25.85	+	2.01	1.05E-04	3.40E-03
establishment of protein localization to mitochondrion (GO:0072655)	77	44	21.88	+	2.01	3.81E-04	1.05E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	77	38.35	+	2.01	2.53E-06	1.10E-04
mitotic sister chromatid segregation (GO:0000070)	121	69	34.38	+	2.01	9.10E-06	3.58E-04
peptidyl-lysine methylation (GO:0018022)	86	49	24.43	+	2.01	1.61E-04	5.00E-03
regulation of gene silencing (GO:0060968)	116	66	32.96	+	2.00	1.37E-05	5.24E-04
protein targeting (GO:0006605)	322	183	91.48	+	2.00	3.34E-13	3.43E-11
regulation of translational initiation (GO:0006446)	81	46	23.01	+	2.00	3.46E-04	9.74E-03
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	42	21.02	+	2.00	6.68E-04	1.69E-02
nucleotide-excision repair (GO:0006289)	104	59	29.55	+	2.00	3.98E-05	1.39E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	76	43	21.59	+	1.99	5.22E-04	1.38E-02
protein-containing complex disassembly (GO:0032984)	228	129	64.77	+	1.99	1.56E-09	1.11E-07
protein localization to mitochondrion (GO:0070585)	85	48	24.15	+	1.99	2.21E-04	6.59E-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	24.72	+	1.98	2.46E-04	7.24E-03
establishment of protein localization to membrane (GO:0090150)	313	176	88.92	+	1.98	1.74E-12	1.66E-10
regulation of signal transduction by p53 class mediator (GO:1901796)	201	113	57.10	+	1.98	2.12E-08	1.34E-06
regulation of translation (GO:0006417)	415	233	117.90	+	1.98	5.91E-16	7.59E-14
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	42	21.31	+	1.97	7.13E-04	1.79E-02
negative regulation of translation (GO:0017148)	184	103	52.27	+	1.97	9.13E-08	5.14E-06
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	66	33.52	+	1.97	2.28E-05	8.32E-04
establishment of protein localization to organelle (GO:0072594)	394	220	111.93	+	1.97	5.82E-15	6.52E-13
sister chromatid segregation (GO:0000819)	149	83	42.33	+	1.96	2.16E-06	9.63E-05
DNA-templated transcription, elongation (GO:0006354)	79	44	22.44	+	1.96	6.43E-04	1.64E-02
centrosome cycle (GO:0007098)	88	49	25.00	+	1.96	2.66E-04	7.78E-03
nuclear transport (GO:0051169)	264	147	75.00	+	1.96	2.13E-10	1.62E-08
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	64	32.67	+	1.96	2.82E-05	1.01E-03
aerobic respiration (GO:0009060)	160	89	45.46	+	1.96	1.03E-06	4.86E-05
protein insertion into membrane (GO:0051205)	72	40	20.46	+	1.96	1.24E-03	2.92E-02
peptide metabolic process (GO:0006518)	544	301	154.55	+	1.95	1.22E-19	2.01E-17
mitotic nuclear division (GO:0140014)	201	111	57.10	+	1.94	6.38E-08	3.67E-06
nucleocytoplasmic transport (GO:0006913)	261	144	74.15	+	1.94	5.21E-10	3.85E-08
positive regulation of mRNA metabolic process (GO:1903313)	136	75	38.64	+	1.94	8.32E-06	3.31E-04
regulation of proteasomal protein catabolic process (GO:0061136)	187	103	53.13	+	1.94	1.62E-07	8.82E-06
microtubule organizing center organization (GO:0031023)	100	55	28.41	+	1.94	1.36E-04	4.27E-03
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	50	25.85	+	1.93	3.21E-04	9.12E-03
cellular response to ionizing radiation (GO:0071479)	71	39	20.17	+	1.93	1.69E-03	3.79E-02
histone lysine methylation (GO:0034968)	71	39	20.17	+	1.93	1.69E-03	3.79E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	91	47.16	+	1.93	1.07E-06	5.00E-05
RNA metabolic process (GO:0016070)	1582	867	449.44	+	1.93	2.97E-56	3.13E-53
nuclear envelope organization (GO:0006998)	84	46	23.86	+	1.93	6.15E-04	1.58E-02
positive regulation of translation (GO:0045727)	137	75	38.92	+	1.93	9.15E-06	3.59E-04
RNA localization (GO:0006403)	212	116	60.23	+	1.93	4.32E-08	2.58E-06
peptidyl-lysine acetylation (GO:0018394)	119	65	33.81	+	1.92	5.09E-05	1.75E-03
histone acetylation (GO:0016573)	110	60	31.25	+	1.92	8.54E-05	2.83E-03
posttranscriptional regulation of gene expression (GO:0010608)	581	316	165.06	+	1.91	9.59E-20	1.63E-17
telomere organization (GO:0032200)	103	56	29.26	+	1.91	1.62E-04	5.00E-03
regulation of telomere maintenance (GO:0032204)	81	44	23.01	+	1.91	7.57E-04	1.89E-02
regulation of mRNA processing (GO:0050684)	140	76	39.77	+	1.91	1.08E-05	4.16E-04
macromolecule methylation (GO:0043414)	257	139	73.01	+	1.90	3.35E-09	2.30E-07
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	60	31.53	+	1.90	9.38E-05	3.08E-03
regulation of TOR signaling (GO:0032006)	100	54	28.41	+	1.90	2.74E-04	7.95E-03
nucleobase-containing compound catabolic process (GO:0034655)	373	201	105.97	+	1.90	9.91E-13	9.85E-11
negative regulation of cellular amide metabolic process (GO:0034249)	206	111	58.52	+	1.90	1.26E-07	6.91E-06
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	182	96.03	+	1.90	1.19E-11	1.05E-09
histone methylation (GO:0016571)	91	49	25.85	+	1.90	4.69E-04	1.26E-02
signal transduction by p53 class mediator (GO:0072331)	119	64	33.81	+	1.89	7.22E-05	2.41E-03
peptidyl-lysine modification (GO:0018205)	305	164	86.65	+	1.89	1.53E-10	1.19E-08
mRNA transport (GO:0051028)	160	86	45.46	+	1.89	4.29E-06	1.79E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	72	38.07	+	1.89	2.22E-05	8.13E-04
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	58	30.68	+	1.89	1.54E-04	4.80E-03
protein-containing complex localization (GO:0031503)	259	139	73.58	+	1.89	3.89E-09	2.65E-07
negative regulation of protein ubiquitination (GO:0031397)	82	44	23.30	+	1.89	1.12E-03	2.66E-02
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	119	63.07	+	1.89	5.65E-08	3.32E-06
telomere maintenance (GO:0000723)	99	53	28.13	+	1.88	3.68E-04	1.03E-02
cellular respiration (GO:0045333)	187	100	53.13	+	1.88	6.76E-07	3.30E-05
internal peptidyl-lysine acetylation (GO:0018393)	116	62	32.96	+	1.88	1.22E-04	3.91E-03
viral process (GO:0016032)	444	237	126.14	+	1.88	2.05E-14	2.22E-12
regulation of RNA splicing (GO:0043484)	150	80	42.61	+	1.88	9.86E-06	3.83E-04
cellular macromolecule catabolic process (GO:0044265)	925	493	262.79	+	1.88	4.73E-29	1.66E-26
ERAD pathway (GO:0036503)	92	49	26.14	+	1.87	7.02E-04	1.77E-02
regulation of cellular amide metabolic process (GO:0034248)	479	255	136.08	+	1.87	2.40E-15	2.88E-13
proteasomal protein catabolic process (GO:0010498)	361	192	102.56	+	1.87	7.81E-12	7.01E-10
regulation of mRNA stability (GO:0043488)	241	128	68.47	+	1.87	2.95E-08	1.81E-06
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	61	32.67	+	1.87	1.63E-04	5.03E-03
regulation of RNA stability (GO:0043487)	253	134	71.88	+	1.86	1.49E-08	9.64E-07
endoplasmic reticulum organization (GO:0007029)	102	54	28.98	+	1.86	3.18E-04	9.06E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	54	28.98	+	1.86	3.18E-04	9.04E-03
regulation of mRNA metabolic process (GO:1903311)	376	199	106.82	+	1.86	4.59E-12	4.22E-10
nucleic acid metabolic process (GO:0090304)	2217	1173	629.85	+	1.86	8.72E-72	1.53E-68
establishment of RNA localization (GO:0051236)	191	101	54.26	+	1.86	1.15E-06	5.31E-05
regulation of mRNA catabolic process (GO:0061013)	252	133	71.59	+	1.86	1.98E-08	1.25E-06
mitotic spindle organization (GO:0007052)	163	86	46.31	+	1.86	7.19E-06	2.90E-04
positive regulation of chromosome organization (GO:2001252)	182	96	51.71	+	1.86	1.94E-06	8.77E-05
regulation of stem cell differentiation (GO:2000736)	116	61	32.96	+	1.85	1.72E-04	5.29E-03
internal protein amino acid acetylation (GO:0006475)	118	62	33.52	+	1.85	1.39E-04	4.37E-03
cellular response to amino acid starvation (GO:0034198)	80	42	22.73	+	1.85	2.01E-03	4.41E-02
double-strand break repair via homologous recombination (GO:0000724)	101	53	28.69	+	1.85	4.25E-04	1.16E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	164	86	46.59	+	1.85	7.73E-06	3.09E-04
RNA transport (GO:0050658)	189	99	53.69	+	1.84	2.01E-06	9.05E-05
nucleic acid transport (GO:0050657)	189	99	53.69	+	1.84	2.01E-06	9.02E-05
DNA repair (GO:0006281)	531	278	150.86	+	1.84	6.95E-16	8.79E-14
mitochondrion organization (GO:0007005)	468	245	132.96	+	1.84	3.84E-14	4.07E-12
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	128	69.60	+	1.84	5.30E-08	3.12E-06
protein acetylation (GO:0006473)	138	72	39.21	+	1.84	5.35E-05	1.83E-03
nucleic acid-templated transcription (GO:0097659)	531	277	150.86	+	1.84	9.68E-16	1.19E-13
cell cycle checkpoint signaling (GO:0000075)	188	98	53.41	+	1.83	2.65E-06	1.15E-04
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	49	26.71	+	1.83	8.01E-04	1.99E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	125	68.18	+	1.83	1.06E-07	5.90E-06
transcription, DNA-templated (GO:0006351)	530	276	150.57	+	1.83	1.28E-15	1.56E-13
response to ionizing radiation (GO:0010212)	148	77	42.05	+	1.83	3.34E-05	1.20E-03
DNA integrity checkpoint signaling (GO:0031570)	150	78	42.61	+	1.83	2.69E-05	9.70E-04
double-strand break repair (GO:0006302)	204	106	57.96	+	1.83	1.18E-06	5.42E-05
RNA biosynthetic process (GO:0032774)	543	282	154.27	+	1.83	9.27E-16	1.15E-13
DNA geometric change (GO:0032392)	110	57	31.25	+	1.82	3.48E-04	9.75E-03
positive regulation of cellular amide metabolic process (GO:0034250)	168	87	47.73	+	1.82	9.67E-06	3.77E-04
protein localization to organelle (GO:0033365)	742	383	210.80	+	1.82	7.73E-21	1.40E-18
mitotic cell cycle checkpoint signaling (GO:0007093)	159	82	45.17	+	1.82	2.20E-05	8.09E-04
signal transduction in response to DNA damage (GO:0042770)	167	86	47.44	+	1.81	1.28E-05	4.90E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	155	85.51	+	1.81	4.89E-09	3.32E-07
recombinational repair (GO:0000725)	103	53	29.26	+	1.81	6.53E-04	1.66E-02
methylation (GO:0032259)	313	161	88.92	+	1.81	2.47E-09	1.71E-07
ubiquitin-dependent protein catabolic process (GO:0006511)	545	280	154.83	+	1.81	2.73E-15	3.24E-13
mitochondrial membrane organization (GO:0007006)	146	75	41.48	+	1.81	5.82E-05	1.97E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	289	159.95	+	1.81	9.63E-16	1.19E-13
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	80	44.32	+	1.81	3.63E-05	1.29E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	61	33.81	+	1.80	2.83E-04	8.15E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	63	34.94	+	1.80	2.49E-04	7.29E-03
retrograde transport, endosome to Golgi (GO:0042147)	90	46	25.57	+	1.80	1.75E-03	3.90E-02
modification-dependent protein catabolic process (GO:0019941)	552	282	156.82	+	1.80	3.81E-15	4.37E-13
transcription by RNA polymerase II (GO:0006366)	382	195	108.53	+	1.80	8.56E-11	6.80E-09
protein-DNA complex subunit organization (GO:0071824)	296	151	84.09	+	1.80	1.37E-08	8.90E-07
regulation of macroautophagy (GO:0016241)	161	82	45.74	+	1.79	3.36E-05	1.20E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	434	221	123.30	+	1.79	4.75E-12	4.34E-10
DNA replication (GO:0006260)	273	139	77.56	+	1.79	5.76E-08	3.37E-06
spindle organization (GO:0007051)	224	114	63.64	+	1.79	8.78E-07	4.18E-05
chromatin remodeling (GO:0006338)	173	88	49.15	+	1.79	1.68E-05	6.29E-04
macromolecule catabolic process (GO:0009057)	1058	538	300.58	+	1.79	5.20E-28	1.65E-25
regulation of cellular protein catabolic process (GO:1903362)	256	130	72.73	+	1.79	1.71E-07	9.26E-06
macroautophagy (GO:0016236)	199	101	56.54	+	1.79	4.59E-06	1.91E-04
DNA damage checkpoint signaling (GO:0000077)	142	72	40.34	+	1.78	9.42E-05	3.08E-03
negative regulation of cell cycle phase transition (GO:1901988)	294	149	83.52	+	1.78	2.35E-08	1.46E-06
nucleosome organization (GO:0034728)	156	79	44.32	+	1.78	5.02E-05	1.73E-03
endosomal transport (GO:0016197)	235	119	66.76	+	1.78	5.80E-07	2.86E-05
cellular response to UV (GO:0034644)	91	46	25.85	+	1.78	1.88E-03	4.16E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	93	52.27	+	1.78	1.10E-05	4.25E-04
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	93	47	26.42	+	1.78	2.03E-03	4.42E-02
protein modification by small protein removal (GO:0070646)	295	149	83.81	+	1.78	2.48E-08	1.53E-06
autophagy (GO:0006914)	309	156	87.79	+	1.78	1.35E-08	8.82E-07
ATP metabolic process (GO:0046034)	206	104	58.52	+	1.78	3.43E-06	1.47E-04
